START TIME: 1394482155.69
"wheel","-","1394483363.99","Mon Mar 10 13:29:23 2014"
"wheel","-","1394483369.38","Mon Mar 10 13:29:29 2014"
"wheel","-","1394483370.31","Mon Mar 10 13:29:30 2014"
"wheel","-","1394483370.99","Mon Mar 10 13:29:30 2014"
"wheel","-","1394483371.64","Mon Mar 10 13:29:31 2014"
"wheel","-","1394483372.74","Mon Mar 10 13:29:32 2014"
"wheel","-","1394483373.59","Mon Mar 10 13:29:33 2014"
"wheel","-","1394483374.45","Mon Mar 10 13:29:34 2014"
"wheel","-","1394483375.18","Mon Mar 10 13:29:35 2014"
"wheel","-","1394483376.16","Mon Mar 10 13:29:36 2014"
"wheel","-","1394483376.84","Mon Mar 10 13:29:36 2014"
"wheel","-","1394483379.36","Mon Mar 10 13:29:39 2014"
"wheel","-","1394483380.12","Mon Mar 10 13:29:40 2014"
"wheel","-","1394483380.79","Mon Mar 10 13:29:40 2014"
"wheel","-","1394483382.15","Mon Mar 10 13:29:42 2014"
"wheel","-","1394483382.88","Mon Mar 10 13:29:42 2014"
"wheel","-","1394483383.80","Mon Mar 10 13:29:43 2014"
"wheel","-","1394483384.41","Mon Mar 10 13:29:44 2014"
"wheel","-","1394483385.01","Mon Mar 10 13:29:45 2014"
"wheel","-","1394483385.81","Mon Mar 10 13:29:45 2014"
"wheel","-","1394483386.54","Mon Mar 10 13:29:46 2014"
"wheel","-","1394483387.74","Mon Mar 10 13:29:47 2014"
"wheel","-","1394483388.56","Mon Mar 10 13:29:48 2014"
"wheel","-","1394483389.20","Mon Mar 10 13:29:49 2014"
"wheel","-","1394483390.35","Mon Mar 10 13:29:50 2014"
"wheel","-","1394483391.15","Mon Mar 10 13:29:51 2014"
"wheel","-","1394483391.95","Mon Mar 10 13:29:51 2014"
"wheel","-","1394483392.59","Mon Mar 10 13:29:52 2014"
"wheel","-","1394483393.21","Mon Mar 10 13:29:53 2014"
"wheel","-","1394483393.85","Mon Mar 10 13:29:53 2014"
"wheel","-","1394483394.61","Mon Mar 10 13:29:54 2014"
"wheel","-","1394483395.42","Mon Mar 10 13:29:55 2014"
"wheel","-","1394483396.39","Mon Mar 10 13:29:56 2014"
"wheel","-","1394483397.09","Mon Mar 10 13:29:57 2014"
"wheel","-","1394483397.78","Mon Mar 10 13:29:57 2014"
"wheel","-","1394483398.55","Mon Mar 10 13:29:58 2014"
"wheel","-","1394483399.22","Mon Mar 10 13:29:59 2014"
"wheel","-","1394483399.85","Mon Mar 10 13:29:59 2014"
"wheel","-","1394483400.60","Mon Mar 10 13:30:00 2014"
"wheel","-","1394483401.51","Mon Mar 10 13:30:01 2014"
"wheel","-","1394483402.14","Mon Mar 10 13:30:02 2014"
"wheel","-","1394483402.76","Mon Mar 10 13:30:02 2014"
